Stars,Month,Year,Sentiment_label,Review_text
1.0,August,2022,negative,"I purchased it after seeing the ingredients and all, but when I used it I got buccal mucosal ulcers. Intially 2 times I thought it could be due to something else, but I got the ulcers after re-challenging it for the 2nd time as well."
3.0,September,2019,negative,It's not suitable for me. The lumpy lumpy it has is the main problem.Its better when I use by mixing it with colgate.
1.0,January,2023,negative,"The toothpaste flavour is worst, bad strong cardamom flavour which instantly hit in your mouth, which not at all gives you good flavour."
3.0,November,2020,negative,Something is missing..
2.0,December,2021,positive,Ok
2.0,November,2021,neutral,Not like
2.0,March,2021,negative,"Not happy with the freshness. Some other herbal toothpastes like dabur red, vicco vajradanti can give better freshness and cleanliness."
2.0,September,2021,neutral,It doesn't bind. Falls off after applying.
2.0,July,2021,negative,Not easy for use this paste and very dry 😑
1.0,August,2022,negative,"This product I personally used not good, flavor and toothpaste quality not good"
3.0,October,2018,negative,Sorry  not good toothpaste for my teeth
3.0,March,2020,positive,Good
2.0,April,2021,negative,Not good and does not give freshneaa
2.0,April,2021,neutral,Not properly clean theeth.but product  organic.
2.0,March,2021,negative,Result is not good as promoted
1.0,August,2019,negative,"Useless don't waste money search more and find better one..it not do anything what it claims..when u start brushing..it completely become liquid by Ur saliva...and automatically u spit out all product.. because it informs to brain...u do for shore ..u can't hold for long time..and u end up with bare tooth brush on Ur precious teeth...which is harmful again ,it gives lines on Ur teeth..like Ur scrubbing...utensil..."
2.0,April,2021,negative,Don't like
3.0,March,2019,positive,Ok
1.0,May,2022,neutral,Don't Purchase this Paste its no 1 waste paste don't wasted your money
1.0,May,2022,neutral,Doesn’t feel like normal toothpaste freshness . Won’t buy again
2.0,November,2019,neutral,"Not smooth , paste doesn’t come out of the tube"
2.0,March,2020,neutral,"Please this product for paste is like brushing with clay , no foam"
1.0,August,2022,negative,Waste of money
1.0,June,2022,neutral,Not value for money
1.0,October,2020,negative,Feel very bad ...waste of money....I don't know about its quality.... but I didn't feel clean after brushing with this paste.....
2.0,September,2018,negative,Colour of toothpaste is very unpleasant in the wash room. Pls change asap.
3.0,July,2018,positive,Good
1.0,September,2020,positive,"I M GLUTEN SENSITIVE INDIVIDUAL , MANUFACTURER SHOULD KNOW MEANING OF GLUTEN FREE , GLUTEN  SHOULD BE LESS THAN 20PPM , HAD GLUTEN REACTION AFTER USING ITEM ."
2.0,May,2019,neutral,Not pleasant to use
2.0,October,2019,negative,Not good
2.0,October,2018,negative,getting foul smell in mouth by afternoon
1.0,November,2021,negative,Dislike
1.0,August,2021,negative,Very bad product
1.0,June,2021,neutral,i don't recommend it to anyone
1.0,June,2021,negative,Quality not best for price
1.0,May,2021,positive,"No freshness, no flavour , worthless"
1.0,April,2021,negative,It pains my teeth
1.0,June,2021,negative,Didlike
1.0,February,2021,negative,worst product
1.0,November,2018,negative,It is called natural toothpaste but there is a black sign behind tube which means 100%chemicals.isnt it a cheat?
2.0,August,2022,negative,Taste is not good at all....Need to modify a lot. You will feel to washout as soon as possible. .
3.0,August,2021,positive,"The toothpaste is really great but the packaging/tube for it is awful.Since the paste is less smooth/'liquidy' than most toothpastes, it gets too dried and hence the tube breaks/cuts from the top. Have bought 5+ tubes and all of them got the cut mid way of their usage.I hope the company reads these reviews and improve their tube quality soon."
1.0,December,2019,negative,Bad product
1.0,September,2019,negative,Not good for teeth
2.0,April,2022,positive,"Even after brushing with this paste, it feels like we didn't brush.Got this as Free Sample, hence not a concern for me. If bought at any price, I would have felt very bad for buying.Elaichi taste is good."
1.0,March,2019,positive,Tastes spicy
1.0,January,2019,positive,Use less
2.0,August,2021,neutral,I have used this porduct for 6 days it doesn't work on sensitive teeth. Not value for money. It may work for others.
1.0,December,2022,negative,"Not good. After use, 4-5 hrs mouth start smelling again. It also becomes hard if you don't use for 2-3 days and front portion of paste has to be thrown away. Used for 2 month, not recomedable, avoid."
1.0,August,2022,positive,Useless paste I ever used in my entries life . Should improve ve more .n n n n n n
1.0,August,2021,negative,After its usage i started gettinh toot achesAnd migraine . Not recommend in first useIts  causing problems .
